Wed. Aug. 22, 2018             LANDSAT 7                 Time: 06:17
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L29092669            Path/Row: 197 / 024

L0R Reference Image: L73NSG1118208100100_HDF.182341015
Acquisition Date: Jul 27, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
197   024   05-25-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1970240124_01   52.256746    6.680230    57.905       0.392    -2.424     1.010    -2.238
1970240126_01   51.563944    6.749869    77.110       0.828    -2.300     1.397    -2.005
1970240127_01   51.478134    5.346245    62.217      -0.340     1.669    -0.759     1.525
1970240128_01   51.102989    7.010603   115.826      -0.863    -1.346    -0.485    -1.525
1970240129_01   51.490372    6.840362    73.700       0.822    -1.127     1.086    -0.874
1970240132_01   51.993381    5.883143   108.970      -1.785     1.487    -2.108     0.973
1970240135_01   51.645034    7.077157   104.041      -3.812    -4.262    -2.572    -5.107
1970240136_01   51.375489    6.273691    98.668       0.093     5.920    -1.452     5.740
1970240137_01   51.140810    6.265243   109.750       1.395    -0.940     1.592    -0.544
1970240138_01   51.271548    6.617084    89.787       0.097     0.477    -0.031     0.485
1970240139_01   51.494001    6.196165    62.440       1.733    -0.780     1.877    -0.301
1970240140_01   51.945792    6.293361    56.049       1.732    -2.330     2.281    -1.799
1970240141_01   51.183270    6.411706   124.805       2.523     1.181     2.127     1.798
1970240142_01   51.961250    7.595509   116.108      -4.595     6.011    -6.001     4.604
1970240143_01   51.942168    7.168795   126.601      -1.209    -0.910    -0.932    -1.194
1970240144_01   51.207026    7.036188   240.144      -0.467     4.287    -1.570     4.015
1970240145_01   51.157241    6.184459   129.745       3.475    -0.091     3.379     0.819
1970240147_01   51.523869    6.963334    87.225      -0.837    -3.082    -0.007    -3.193
1970240148_01   50.928131    6.429316   278.594      -0.795    -2.759    -0.049    -2.870
1970240150_01   51.183783    6.680430    84.460      -1.234     7.188    -3.066     6.617
1970240153_01   52.133156    6.624407    62.227      -2.027    -1.348    -1.606    -1.828
1970240157_01   51.237777    5.238943    83.843      -1.240     1.114    -1.484     0.754
1970240158_01   51.038354    6.985985    92.773       1.184    -6.141     2.740    -5.619
1970240159_01   51.192185    6.448994    97.000      -0.085     0.012    -0.086    -0.010
1970240160_01   52.220765    6.860438    73.000       3.273     1.908     2.664     2.694
1970240163_01   51.514976    5.601943    63.668      -4.189    -0.276    -3.970    -1.357
1970240166_01   51.579380    6.512237    68.744       3.666     1.908     3.042     2.797
1970240167_01   50.980045    6.922689    94.281      -0.393    -1.110    -0.092    -1.174
1970240169_01   51.244394    7.303679   267.628      -1.889     4.680    -3.045     4.022
1970240172_01   51.342362    6.207589    83.774       0.662    -5.245     2.008    -4.891
1970240173_01   51.218494    6.949778   184.643      -1.257    -2.065    -0.677    -2.321
1970240175_01   50.998325    7.142928   187.426      -0.951    -4.265     0.190    -4.364
1970240176_01   51.654758    7.837897   116.242       0.411    -3.226     1.230    -3.007
1970240177_01   51.515221    7.416865   119.937       1.898    -2.605     2.506    -2.021
1970240178_01   51.510484    7.165840   104.003      -0.853    -0.382    -0.726    -0.591
1970240179_01   51.021661    7.019649    98.585       0.198    -3.510     1.103    -3.336
1970240181_01   51.307535    6.744789    83.253       0.714     4.540    -0.495     4.568
1970240183_01   50.927056    6.962620    95.633       1.589     5.506     0.096     5.728
1970240189_01   51.769750    7.427105    97.600      -0.360    -0.191    -0.301    -0.279
1970240190_01   51.442694    5.466539    66.449       1.727     1.068     1.393     1.482
1970240192_01   50.874780    6.997737    98.715      -0.072    -6.542     1.632    -6.334
1970240193_01   51.583354    7.018270   125.904      -1.391    -4.260    -0.236    -4.474
1970240194_01   51.466140    7.010828   105.350      -1.753    -0.554    -1.550    -0.992
1970240197_01   52.215929    5.963775    62.824      -1.968    -0.458    -1.778    -0.953
1970240200_01   51.542732    6.977635    83.794      -2.168    -3.003    -1.313    -3.464
1970240201_01   50.873535    6.696298   131.893      -0.929    -5.994     0.664    -6.028
1970240205_01   51.309408    7.248338   355.291       0.223    -0.974     0.465    -0.882
1970240208_01   51.470997    7.194206   125.225       1.271     2.624     0.541     2.863
1970240209_01   51.516174    7.620484   173.817       2.983     4.554     1.689     5.171
1970240213_01   51.001544    5.866734    89.852       2.542    -3.040     3.249    -2.272
1970240214_01   51.288616    7.283549   254.840       0.511     3.562    -0.438     3.569
1970240215_01   51.379902    6.877902   129.144      -3.938    -2.436    -3.168    -3.377
1970240222_01   51.278819    7.188419   243.421      -0.831     2.425    -1.436     2.123
1970240224_01   51.068974    7.561029   434.364      -1.038     1.105    -1.293     0.794
1970240230_01   50.904342    7.022498   100.211       0.404     2.812    -0.346     2.819
1970240232_01   51.646035    7.676384   106.177      -4.026    -6.575    -2.178    -7.395
1970240233_01   51.123870    6.446758   123.754      -1.293    -1.213    -0.933    -1.508
1970240235_01   51.574621    7.381032   105.493      -4.225    -3.649    -3.131    -4.623
1970240236_01   51.031585    6.326027   133.502      -1.799    -2.032    -1.207    -2.431
1970240238_01   51.436061    7.369103   200.014       2.054     5.621     0.516     5.958
1970240242_01   51.058577    7.016789   109.292      -3.773    -3.589    -2.709    -4.448
1970240244_01   51.005528    6.991256    93.508      -0.084     2.361    -0.699     2.256
1970240248_01   51.214337    6.711114    82.405       2.147     3.666     1.116     4.098
1970240249_01   51.146424    7.246366   362.021      -2.058     1.589    -2.403     0.996
1970240250_01   52.155456    6.402594    58.485       0.477    -1.101     0.749    -0.939
