"Time","radiation.mean"
2017-06-13 22:00:00,0
2017-06-13 22:02:00,0
2017-06-13 22:04:00,0
2017-06-13 22:06:00,0
2017-06-13 22:08:00,0
2017-06-13 22:10:00,0
2017-06-13 22:12:00,0
2017-06-13 22:14:00,0
2017-06-13 22:16:00,0
2017-06-13 22:18:00,0
2017-06-13 22:20:00,0
2017-06-13 22:22:00,0
2017-06-13 22:24:00,0
2017-06-13 22:26:00,0
2017-06-13 22:28:00,0
2017-06-13 22:30:00,0
2017-06-13 22:32:00,0
2017-06-13 22:34:00,0
2017-06-13 22:36:00,0
2017-06-13 22:38:00,0
2017-06-13 22:40:00,0
2017-06-13 22:42:00,0
2017-06-13 22:44:00,0
2017-06-13 22:46:00,0
2017-06-13 22:48:00,0
2017-06-13 22:50:00,0
2017-06-13 22:52:00,0
2017-06-13 22:54:00,0
2017-06-13 22:56:00,0
2017-06-13 22:58:00,0
2017-06-13 23:00:00,0
2017-06-13 23:02:00,0
2017-06-13 23:04:00,0
2017-06-13 23:06:00,0
2017-06-13 23:08:00,0
2017-06-13 23:10:00,0
2017-06-13 23:12:00,0
2017-06-13 23:14:00,0
2017-06-13 23:16:00,0
2017-06-13 23:18:00,0
2017-06-13 23:20:00,0
2017-06-13 23:22:00,0
2017-06-13 23:24:00,0
2017-06-13 23:26:00,0
2017-06-13 23:28:00,0
2017-06-13 23:30:00,0
2017-06-13 23:32:00,0
2017-06-13 23:34:00,0
2017-06-13 23:36:00,0
2017-06-13 23:38:00,0
2017-06-13 23:40:00,0
2017-06-13 23:42:00,0
2017-06-13 23:44:00,0
2017-06-13 23:46:00,0
2017-06-13 23:48:00,0
2017-06-13 23:50:00,0
2017-06-13 23:52:00,0
2017-06-13 23:54:00,0
2017-06-13 23:56:00,0
2017-06-13 23:58:00,0
2017-06-14 00:00:00,0
2017-06-14 00:02:00,0
2017-06-14 00:04:00,0
2017-06-14 00:06:00,0
2017-06-14 00:08:00,0
2017-06-14 00:10:00,0
2017-06-14 00:12:00,0
2017-06-14 00:14:00,0
2017-06-14 00:16:00,0
2017-06-14 00:18:00,0
2017-06-14 00:20:00,0
2017-06-14 00:22:00,0
2017-06-14 00:24:00,0
2017-06-14 00:26:00,0
2017-06-14 00:28:00,0
2017-06-14 00:30:00,0
2017-06-14 00:32:00,0
2017-06-14 00:34:00,0
2017-06-14 00:36:00,0
2017-06-14 00:38:00,0
2017-06-14 00:40:00,0
2017-06-14 00:42:00,0
2017-06-14 00:44:00,0
2017-06-14 00:46:00,0
2017-06-14 00:48:00,0
2017-06-14 00:50:00,0
2017-06-14 00:52:00,0
2017-06-14 00:54:00,0
2017-06-14 00:56:00,0
2017-06-14 00:58:00,0
2017-06-14 01:00:00,0
2017-06-14 01:02:00,0
2017-06-14 01:04:00,0
2017-06-14 01:06:00,0
2017-06-14 01:08:00,0
2017-06-14 01:10:00,0
2017-06-14 01:12:00,0
2017-06-14 01:14:00,0
2017-06-14 01:16:00,0
2017-06-14 01:18:00,0
2017-06-14 01:20:00,0
2017-06-14 01:22:00,0
2017-06-14 01:24:00,0
2017-06-14 01:26:00,0
2017-06-14 01:28:00,0
