"Time","radiation.mean {site_location: fhz}"
2018-07-26 22:00:00,0
2018-07-26 22:02:00,0
2018-07-26 22:04:00,0
2018-07-26 22:06:00,0
2018-07-26 22:08:00,0
2018-07-26 22:10:00,0
2018-07-26 22:12:00,0
2018-07-26 22:14:00,0
2018-07-26 22:16:00,0
2018-07-26 22:18:00,0
2018-07-26 22:20:00,0
2018-07-26 22:22:00,0
2018-07-26 22:24:00,0
2018-07-26 22:26:00,0
2018-07-26 22:28:00,0
2018-07-26 22:30:00,0
2018-07-26 22:32:00,0
2018-07-26 22:34:00,0
2018-07-26 22:36:00,0
2018-07-26 22:38:00,0
2018-07-26 22:40:00,0
2018-07-26 22:42:00,0
2018-07-26 22:44:00,0
2018-07-26 22:46:00,0
2018-07-26 22:48:00,0
2018-07-26 22:50:00,0
2018-07-26 22:52:00,0
2018-07-26 22:54:00,0
2018-07-26 22:56:00,0
2018-07-26 22:58:00,0
2018-07-26 23:00:00,0
2018-07-26 23:02:00,0
2018-07-26 23:04:00,0
2018-07-26 23:06:00,0
2018-07-26 23:08:00,0
2018-07-26 23:10:00,0
2018-07-26 23:12:00,0
2018-07-26 23:14:00,0
2018-07-26 23:16:00,0
2018-07-26 23:18:00,0
2018-07-26 23:20:00,0
2018-07-26 23:22:00,0
2018-07-26 23:24:00,0
2018-07-26 23:26:00,0
2018-07-26 23:28:00,0
2018-07-26 23:30:00,0
2018-07-26 23:32:00,0
2018-07-26 23:34:00,0
2018-07-26 23:36:00,0
2018-07-26 23:38:00,0
2018-07-26 23:40:00,0
2018-07-26 23:42:00,0
2018-07-26 23:44:00,0
2018-07-26 23:46:00,0
2018-07-26 23:48:00,0
2018-07-26 23:50:00,0
2018-07-26 23:52:00,0
2018-07-26 23:54:00,0
2018-07-26 23:56:00,0
2018-07-26 23:58:00,0
2018-07-27 00:00:00,0
2018-07-27 00:02:00,0
2018-07-27 00:04:00,0
2018-07-27 00:06:00,0
2018-07-27 00:08:00,0
2018-07-27 00:10:00,0
2018-07-27 00:12:00,0
2018-07-27 00:14:00,0
2018-07-27 00:16:00,0
2018-07-27 00:18:00,0
2018-07-27 00:20:00,0
2018-07-27 00:22:00,0
2018-07-27 00:24:00,0
2018-07-27 00:26:00,0
2018-07-27 00:28:00,0
2018-07-27 00:30:00,0
2018-07-27 00:32:00,0
2018-07-27 00:34:00,0
2018-07-27 00:36:00,0
2018-07-27 00:38:00,0
2018-07-27 00:40:00,0
2018-07-27 00:42:00,0
2018-07-27 00:44:00,0
2018-07-27 00:46:00,0
2018-07-27 00:48:00,0
2018-07-27 00:50:00,0
2018-07-27 00:52:00,0
2018-07-27 00:54:00,0
2018-07-27 00:56:00,0
2018-07-27 00:58:00,0
2018-07-27 01:00:00,0
2018-07-27 01:02:00,0
2018-07-27 01:04:00,0
2018-07-27 01:06:00,0
2018-07-27 01:08:00,0
2018-07-27 01:10:00,0
2018-07-27 01:12:00,0
2018-07-27 01:14:00,0
2018-07-27 01:16:00,0
2018-07-27 01:18:00,0
2018-07-27 01:20:00,0
2018-07-27 01:22:00,0
2018-07-27 01:24:00,0
2018-07-27 01:26:00,0
2018-07-27 01:28:00,0
2018-07-27 01:30:00,0
2018-07-27 01:32:00,0
2018-07-27 01:34:00,0
2018-07-27 01:36:00,0
2018-07-27 01:38:00,0
2018-07-27 01:40:00,0
2018-07-27 01:42:00,0
2018-07-27 01:44:00,0
2018-07-27 01:46:00,0
2018-07-27 01:48:00,0
2018-07-27 01:50:00,0
2018-07-27 01:52:00,0
2018-07-27 01:54:00,0
2018-07-27 01:56:00,0
2018-07-27 01:58:00,0
2018-07-27 02:00:00,0
2018-07-27 02:02:00,0
2018-07-27 02:04:00,0
2018-07-27 02:06:00,0
2018-07-27 02:08:00,0
2018-07-27 02:10:00,0
2018-07-27 02:12:00,0
2018-07-27 02:14:00,0
2018-07-27 02:16:00,0
2018-07-27 02:18:00,0
2018-07-27 02:20:00,0
2018-07-27 02:22:00,0
2018-07-27 02:24:00,0
2018-07-27 02:26:00,0
2018-07-27 02:28:00,0
2018-07-27 02:30:00,0
2018-07-27 02:32:00,0
2018-07-27 02:34:00,0
2018-07-27 02:36:00,0
2018-07-27 02:38:00,0
2018-07-27 02:40:00,0
2018-07-27 02:42:00,0
2018-07-27 02:44:00,0
2018-07-27 02:46:00,0
2018-07-27 02:48:00,0
2018-07-27 02:50:00,0
2018-07-27 02:52:00,0
2018-07-27 02:54:00,0
2018-07-27 02:56:00,0
2018-07-27 02:58:00,0
2018-07-27 03:00:00,0
2018-07-27 03:02:00,0
2018-07-27 03:04:00,0
2018-07-27 03:06:00,0
2018-07-27 03:08:00,0
2018-07-27 03:10:00,0
2018-07-27 03:12:00,0
2018-07-27 03:14:00,0
2018-07-27 03:16:00,0
2018-07-27 03:18:00,0
2018-07-27 03:20:00,0
2018-07-27 03:22:00,0
2018-07-27 03:24:00,0
2018-07-27 03:26:00,0
2018-07-27 03:28:00,0
2018-07-27 03:30:00,0
2018-07-27 03:32:00,0
2018-07-27 03:34:00,0
2018-07-27 03:36:00,0
2018-07-27 03:38:00,0
2018-07-27 03:40:00,0
2018-07-27 03:42:00,0
2018-07-27 03:44:00,0
2018-07-27 03:46:00,0
2018-07-27 03:48:00,0
2018-07-27 03:50:00,0
2018-07-27 03:52:00,0
2018-07-27 03:54:00,0
2018-07-27 03:56:00,0.750
2018-07-27 03:58:00,0.600
2018-07-27 04:00:00,1
2018-07-27 04:02:00,1.80
2018-07-27 04:04:00,3.10
2018-07-27 04:06:00,4.35
2018-07-27 04:08:00,4.80
2018-07-27 04:10:00,5.60
2018-07-27 04:12:00,5.90
2018-07-27 04:14:00,6.75
2018-07-27 04:16:00,7.60
2018-07-27 04:18:00,8.60
2018-07-27 04:20:00,9.45
2018-07-27 04:22:00,10.2
2018-07-27 04:24:00,11.2
2018-07-27 04:26:00,12.7
2018-07-27 04:28:00,13.9
2018-07-27 04:30:00,14.7
2018-07-27 04:32:00,15.9
2018-07-27 04:34:00,17.2
2018-07-27 04:36:00,18.7
2018-07-27 04:38:00,20.1
2018-07-27 04:40:00,21.4
2018-07-27 04:42:00,22.5
2018-07-27 04:44:00,24.0
2018-07-27 04:46:00,24.4
2018-07-27 04:48:00,24.7
2018-07-27 04:50:00,25.3
2018-07-27 04:52:00,27.4
2018-07-27 04:54:00,28.7
2018-07-27 04:56:00,29.8
2018-07-27 04:58:00,30.9
2018-07-27 05:00:00,32.1
2018-07-27 05:02:00,35.3
2018-07-27 05:04:00,40
2018-07-27 05:06:00,42.8
2018-07-27 05:08:00,43.5
2018-07-27 05:10:00,43.6
2018-07-27 05:12:00,44.6
2018-07-27 05:14:00,47.4
2018-07-27 05:16:00,52.0
2018-07-27 05:18:00,58.2
2018-07-27 05:20:00,64.2
2018-07-27 05:22:00,68.2
2018-07-27 05:24:00,70.4
2018-07-27 05:26:00,71.8
2018-07-27 05:28:00,71.7
2018-07-27 05:30:00,71.2
2018-07-27 05:32:00,70.8
2018-07-27 05:34:00,68.8
2018-07-27 05:36:00,68.6
2018-07-27 05:38:00,70.7
2018-07-27 05:40:00,71.9
2018-07-27 05:42:00,72.3
2018-07-27 05:44:00,70.3
2018-07-27 05:46:00,68.8
2018-07-27 05:48:00,72.1
2018-07-27 05:50:00,100
2018-07-27 05:52:00,195
2018-07-27 05:54:00,243
2018-07-27 05:56:00,244
2018-07-27 05:58:00,241
2018-07-27 06:00:00,240
2018-07-27 06:02:00,241
2018-07-27 06:04:00,240
2018-07-27 06:06:00,243
2018-07-27 06:08:00,248
2018-07-27 06:10:00,251
2018-07-27 06:12:00,255
2018-07-27 06:14:00,260
2018-07-27 06:16:00,265
2018-07-27 06:18:00,269
2018-07-27 06:20:00,273
2018-07-27 06:22:00,277
2018-07-27 06:24:00,282
2018-07-27 06:26:00,286
2018-07-27 06:28:00,292
2018-07-27 06:30:00,297
2018-07-27 06:32:00,303
2018-07-27 06:34:00,308
2018-07-27 06:36:00,314
2018-07-27 06:38:00,316
2018-07-27 06:40:00,323
2018-07-27 06:42:00,328
2018-07-27 06:44:00,334
2018-07-27 06:46:00,339
2018-07-27 06:48:00,345
2018-07-27 06:50:00,350
2018-07-27 06:52:00,355
2018-07-27 06:54:00,361
2018-07-27 06:56:00,366
2018-07-27 06:58:00,372
2018-07-27 07:00:00,376
2018-07-27 07:02:00,381
2018-07-27 07:04:00,385
2018-07-27 07:06:00,390
2018-07-27 07:08:00,395
2018-07-27 07:10:00,400
2018-07-27 07:12:00,405
2018-07-27 07:14:00,411
2018-07-27 07:16:00,415
2018-07-27 07:18:00,421
2018-07-27 07:20:00,427
2018-07-27 07:22:00,434
2018-07-27 07:24:00,440
2018-07-27 07:26:00,445
2018-07-27 07:28:00,449
2018-07-27 07:30:00,452
2018-07-27 07:32:00,457
2018-07-27 07:34:00,462
2018-07-27 07:36:00,468
2018-07-27 07:38:00,471
2018-07-27 07:40:00,476
2018-07-27 07:42:00,479
2018-07-27 07:44:00,483
2018-07-27 07:46:00,488
2018-07-27 07:48:00,495
2018-07-27 07:50:00,502
2018-07-27 07:52:00,507
2018-07-27 07:54:00,511
2018-07-27 07:56:00,516
2018-07-27 07:58:00,519
2018-07-27 08:00:00,522
2018-07-27 08:02:00,529
2018-07-27 08:04:00,534
2018-07-27 08:06:00,538
2018-07-27 08:08:00,540
2018-07-27 08:10:00,546
2018-07-27 08:12:00,552
2018-07-27 08:14:00,556
2018-07-27 08:16:00,562
2018-07-27 08:18:00,567
2018-07-27 08:20:00,569
2018-07-27 08:22:00,573
2018-07-27 08:24:00,578
2018-07-27 08:26:00,582
2018-07-27 08:28:00,587
2018-07-27 08:30:00,589
2018-07-27 08:32:00,593
2018-07-27 08:34:00,597
2018-07-27 08:36:00,599
2018-07-27 08:38:00,607
2018-07-27 08:40:00,612
2018-07-27 08:42:00,615
2018-07-27 08:44:00,622
2018-07-27 08:46:00,624
2018-07-27 08:48:00,628
2018-07-27 08:50:00,630
2018-07-27 08:52:00,631
2018-07-27 08:54:00,638
2018-07-27 08:56:00,640
2018-07-27 08:58:00,640
2018-07-27 09:00:00,646
2018-07-27 09:02:00,653
2018-07-27 09:04:00,655
2018-07-27 09:06:00,660
2018-07-27 09:08:00,662
2018-07-27 09:10:00,668
2018-07-27 09:12:00,668
2018-07-27 09:14:00,669
2018-07-27 09:16:00,677
2018-07-27 09:18:00,679
2018-07-27 09:20:00,681
2018-07-27 09:22:00,689
2018-07-27 09:24:00,687
2018-07-27 09:26:00,690
2018-07-27 09:28:00,689
2018-07-27 09:30:00,693
